#"feature_id","plan_id","feature_code","date_commenced","date_terminated"
"7ed0f92e-ab36-4251-9ef8-8c71cde20643","61d9d0a2-0ee4-4ca3-b67c-e58c7c7d11d7","0","2011-03-18 00:00:00","2012-02-18 00:00:00"
"aaabe89b-d845-4f5a-9d1f-5e28fc38178c","d2359217-8d2d-48e2-9957-c6971e1fc1ce","0","2011-03-18 00:00:00",""
"81849858-9779-49dc-862f-90e0258ddf34","d2359217-8d2d-48e2-9957-c6971e1fc1ce","3","2011-03-18 00:00:00",""
"98189155-3619-467f-967a-00eac359c2e5","d2359217-8d2d-48e2-9957-c6971e1fc1ce","5","2011-03-18 00:00:00",""
"af14b128-ae19-4a75-a347-5b3189e3cb36","06f178a9-107f-4bb3-ac68-4e76187adfab","2","2011-03-18 00:00:00","2013-03-28 23:59:59"
"c6f8ef6d-9718-4b57-8332-b77ec2d63af0","06f178a9-107f-4bb3-ac68-4e76187adfab","8","2013-03-18 00:00:00","2013-03-28 23:59:59"
"c5ffadc7-6bcf-465d-9157-e9253a09bea2","06f178a9-107f-4bb3-ac68-4e76187adfab","8","2013-03-18 00:00:00","2013-03-18 23:59:59"
"7322f9bc-e776-4d5a-bef2-36d8988a8827","6db10552-b689-4140-b75c-7faf7c76c47f","1","2011-03-09 00:00:00",""
"b3409d1a-1e2f-47bc-a5f4-9d1690cf4ad5","6db10552-b689-4140-b75c-7faf7c76c47f","4","2011-03-09 00:00:00",""
"b7244f35-2508-4414-b705-7f7c2461e876","6db10552-b689-4140-b75c-7faf7c76c47f","6","2011-03-09 00:00:00",""
"8ed994b2-9f75-457e-8384-c993149d68e6","6db10552-b689-4140-b75c-7faf7c76c47f","7","2011-03-09 00:00:00",""
"75bc8990-ca09-492d-af2b-d617dfebf30d","4d9625e9-5158-4422-a608-96b472b67504","2","2011-03-18 00:00:00","2013-02-18 00:00:00"
"686734da-2940-4873-b34f-60d9391fa224","e632d245-ab0a-4dca-a6f1-fbded7fe6de7","0","2011-03-18 00:00:00","2011-09-18 00:00:00"
"42b05513-6342-4b00-b0f9-2b2d015d5cc3","e632d245-ab0a-4dca-a6f1-fbded7fe6de7","3","2011-03-25 00:00:00","2011-05-09 00:00:00"
"41159067-8689-4097-a8c9-388eab0f1ef7","86d4e097-91a3-4dcc-ae0c-3ecfbe2ebbe0","1","2011-03-18 00:00:00","2012-02-18 00:00:00"
"13e750ca-abee-434a-bb22-740d7c9f56df","f80ae86e-487e-45de-9a1f-b46c108afc2c","1","2011-03-18 00:00:00","2012-02-18 00:00:00"
"7550c4b8-4063-4dc6-9e86-9bb17faded32","f80ae86e-487e-45de-9a1f-b46c108afc2c","7","2011-03-18 00:00:00","2012-02-18 00:00:00"
"cf42a107-44e3-4d3c-a1cb-dc381502fab2","29fa8449-b530-452d-962f-93f099054888","2","2011-01-01 00:00:00",""
"3adff2b3-155a-432b-af32-eead5ad31e48","29fa8449-b530-452d-962f-93f099054888","8","2011-01-01 00:00:00",""
"63127534-38d7-45f8-8bb4-92d35f02b389","9b24e77b-f374-4de3-a247-2d8f3d647402","1","2011-03-18 00:00:00","2012-03-18 00:00:00"
"229d10bb-3ae4-4ade-8608-6a5228f1284e","9b24e77b-f374-4de3-a247-2d8f3d647402","7","2011-03-18 00:00:00","2012-03-18 00:00:00"
"3533df29-c481-457c-9256-586f791ae730","78b41bfc-4222-4774-b499-a203570fe0ca","2","2011-03-18 00:00:00","2013-02-18 00:00:00"
"176f323d-15a9-415b-b967-3b67c04ca5a2","78b41bfc-4222-4774-b499-a203570fe0ca","8","2011-04-06 00:00:00","2011-04-09 00:00:00"
"715f39d0-dca4-4286-bced-54a46326f358","5c9fa0c4-2bae-44d7-9059-6c07827173b9","0","2011-03-18 00:00:00",""
"b232583b-7236-4c27-9af8-8b3a7aeb9e48","5c9fa0c4-2bae-44d7-9059-6c07827173b9","5","2011-03-18 00:00:00",""
"0d3bec17-85ab-49f4-8c7b-13e594f5fb59","51fe9219-aa7b-47d5-83a9-f16766030f4d","2","2011-03-18 00:00:00",""
"ca91e842-b147-40a9-b8d0-3ed322562042","51fe9219-aa7b-47d5-83a9-f16766030f4d","8","2011-04-06 00:00:00",""
